tahun,nama_kabupaten,nama_kecamatan,nama_kelurahan,status_kawin,jumlah
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,Belum Kawin,1.00
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Belum Kawin,2.00
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,Belum Kawin,1.00
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,Belum Kawin,
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Belum Kawin,4.00
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,Belum Kawin,
2017,JAKARTA PUSAT,GAMBIR,GAMBIR,Belum Kawin,1.00
2017,JAKARTA PUSAT,GAMBIR,CIDENG,Belum Kawin,5.00
2017,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Belum Kawin,19.00
2017,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Belum Kawin,15.00
2017,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Belum Kawin,12.00
2017,JAKARTA PUSAT,GAMBIR,DURI PULO,Belum Kawin,24.00
2017,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Belum Kawin,8.00
2017,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Belum Kawin,19.00
2017,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Belum Kawin,7.00
2017,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Belum Kawin,10.00
2017,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Belum Kawin,28.00
2017,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Belum Kawin,32.00
2017,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Belum Kawin,17.00
2017,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Belum Kawin,22.00
2017,JAKARTA PUSAT,KEMAYORAN,SERDANG,Belum Kawin,24.00
2017,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Belum Kawin,20.00
2017,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Belum Kawin,33.00
2017,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Belum Kawin,11.00
2017,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Belum Kawin,29.00
2017,JAKARTA PUSAT,SENEN,SENEN,Belum Kawin,6.00
2017,JAKARTA PUSAT,SENEN,KENARI,Belum Kawin,6.00
2017,JAKARTA PUSAT,SENEN,PASEBAN,Belum Kawin,20.00
2017,JAKARTA PUSAT,SENEN,KRAMAT,Belum Kawin,26.00
2017,JAKARTA PUSAT,SENEN,KWITANG,Belum Kawin,18.00
2017,JAKARTA PUSAT,SENEN,BUNGUR,Belum Kawin,11.00
2017,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Belum Kawin,6.00
2017,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Belum Kawin,9.00
2017,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Belum Kawin,5.00
2017,JAKARTA PUSAT,MENTENG,MENTENG,Belum Kawin,25.00
2017,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Belum Kawin,17.00
2017,JAKARTA PUSAT,MENTENG,CIKINI,Belum Kawin,9.00
2017,JAKARTA PUSAT,MENTENG,GONDANGDIA,Belum Kawin,4.00
2017,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Belum Kawin,11.00
2017,JAKARTA PUSAT,TANAH ABANG,GELORA,Belum Kawin,4.00
2017,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Belum Kawin,11.00
2017,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Belum Kawin,6.00
2017,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Belum Kawin,6.00
2017,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Belum Kawin,14.00
2017,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Belum Kawin,12.00
2017,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Belum Kawin,10.00
2017,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Belum Kawin,4.00
2017,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Belum Kawin,24.00
2017,JAKARTA PUSAT,JOHAR BARU,GALUR,Belum Kawin,22.00
2017,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Belum Kawin,34.00
2017,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Belum Kawin,62.00
2017,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,Belum Kawin,11.00
2017,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Belum Kawin,14.00
2017,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Belum Kawin,54.00
2017,JAKARTA UTARA,PENJARINGAN,PLUIT,Belum Kawin,28.00
2017,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,Belum Kawin,35.00
2017,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,Belum Kawin,22.00
2017,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Belum Kawin,34.00
